BATUBARA,BIOMASSA,BEBAN,APH A_IN_FLUE_GAS_O2,APH_B_IN_FLUE_GAS_O2_1,SO2
7725994,59670,496.8155166,2.505045076,2.725542905,536.21
7682693,10170,485.3042505,2.805784774,2.938756025,296.82
4133329,0,219.0171031,9.204703839,8.907878657,25.01
4137804,0,206.4053908,9.328156397,9.059235646,0
4580728,0,280.5628423,7.585052458,7.408329907,39.6
5915602,0,379.9255013,4.836429116,5.055587985,302.74
6160483,72870,370.5626274,5.145014051,5.211801981,200.52
5795049,24430,370.7132873,5.239793008,5.196457113,289.05
6088891,83180,397.5277657,5.096770185,5.192593023,198.3
7140677,10560,436.3069385,4.291386198,4.598175801,149.82
6999417,58530,436.4641995,3.807767994,4.231591142,163.78
6959241,5330,426.0089962,4.006213276,4.5239862,234.23
7269917,84780,418.9463154,4.080579141,4.541775339,271.71
6268544,82970,366.9564109,5.402753334,5.164228493,263.98
5792267,12670,346.3147542,6.061786345,5.899242264,246.4
6837357,12270,400.9770862,4.954714622,5.307050372,128.09
6998853,106380,418.0234463,4.2732562,4.783146843,200.33
7307807,57380,428.4238869,3.797484327,4.532680232,104.94
6824503,45420,394.3190109,4.305170301,5.398971123,148.91
